ip,timestamp,request,status,size,user_agent
34.57.178.85,12/Aug/2024:13:38:42 +0000,GET /index.html HTTP/1.1,302,1695,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
170.247.12.174,25/Aug/2024:15:15:54 +0000,POST /about.html HTTP/1.1,302,1444,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
231.29.42.182,21/Aug/2024:16:23:11 +0000,PUT /pricing.html HTTP/1.1,404,1599,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
34.213.143.66,26/Aug/2024:07:04:05 +0000,PUT /pricing.html HTTP/1.1,302,3495,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
42.211.150.71,11/Aug/2024:10:35:52 +0000,PUT /index.html HTTP/1.1,404,2432,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
29.220.53.146,27/Aug/2024:12:59:07 +0000,DELETE /login HTTP/1.1,500,1055,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
22.1.58.33,22/Aug/2024:10:03:35 +0000,PUT /pricing.html HTTP/1.1,200,658,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
207.153.207.65,18/Aug/2024:04:17:50 +0000,POST /login HTTP/1.1,404,3465,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
105.34.43.204,20/Aug/2024:04:38:33 +0000,PUT /login HTTP/1.1,302,3625,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
64.226.30.196,4/Aug/2024:20:43:27 +0000,PUT /login HTTP/1.1,302,2912,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
34.229.115.83,7/Aug/2024:12:53:01 +0000,POST /about.html HTTP/1.1,500,395,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
23.226.17.5,2/Aug/2024:16:25:36 +0000,POST /about.html HTTP/1.1,500,2694,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
209.219.189.138,19/Aug/2024:17:12:50 +0000,GET /contact.html HTTP/1.1,500,1623,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
228.45.127.6,25/Aug/2024:22:46:50 +0000,DELETE /services.html HTTP/1.1,200,2229,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
110.120.125.199,1/Aug/2024:14:31:30 +0000,POST /services.html HTTP/1.1,500,2716,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
67.118.45.122,9/Aug/2024:17:52:28 +0000,PUT /products.html HTTP/1.1,302,1094,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
229.49.11.219,26/Aug/2024:04:04:11 +0000,POST /services.html HTTP/1.1,404,4794,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
8.159.146.106,3/Aug/2024:13:14:52 +0000,GET /products.html HTTP/1.1,302,2582,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
148.177.61.14,5/Aug/2024:18:55:30 +0000,PUT /login HTTP/1.1,302,2798,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
220.110.215.20,20/Aug/2024:21:37:36 +0000,GET /index.html HTTP/1.1,500,455,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
242.12.168.96,4/Aug/2024:11:45:52 +0000,GET /index.html HTTP/1.1,200,1064,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
14.56.112.82,25/Aug/2024:05:32:19 +0000,DELETE /pricing.html HTTP/1.1,500,1626,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
91.29.225.241,13/Aug/2024:10:08:53 +0000,PUT /services.html HTTP/1.1,302,2114,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
43.0.217.249,6/Aug/2024:04:19:02 +0000,PUT /services.html HTTP/1.1,500,4209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
34.157.54.14,5/Aug/2024:18:23:26 +0000,PUT /index.html HTTP/1.1,200,825,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
5.111.133.42,17/Aug/2024:16:29:36 +0000,DELETE /login HTTP/1.1,302,1402,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
240.28.114.117,15/Aug/2024:15:43:57 +0000,DELETE /login HTTP/1.1,302,485,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
46.159.245.80,21/Aug/2024:16:36:23 +0000,GET /contact.html HTTP/1.1,404,4432,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
23.63.212.51,7/Aug/2024:09:31:02 +0000,PUT /pricing.html HTTP/1.1,302,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
56.85.136.252,18/Aug/2024:15:44:13 +0000,DELETE /login HTTP/1.1,404,1080,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
147.40.37.249,15/Aug/2024:15:11:25 +0000,PUT /products.html HTTP/1.1,200,1017,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
130.196.151.234,10/Aug/2024:01:35:42 +0000,PUT /products.html HTTP/1.1,302,1810,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
55.255.56.52,11/Aug/2024:00:33:03 +0000,PUT /contact.html HTTP/1.1,302,3155,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
252.190.64.150,19/Aug/2024:00:18:08 +0000,PUT /index.html HTTP/1.1,302,3822,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
220.237.61.170,21/Aug/2024:01:23:00 +0000,PUT /login HTTP/1.1,500,3617,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
55.177.93.16,19/Aug/2024:11:23:56 +0000,PUT /about.html HTTP/1.1,302,3810,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
242.11.205.48,19/Aug/2024:00:20:13 +0000,DELETE /about.html HTTP/1.1,404,2026,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
90.181.164.84,22/Aug/2024:13:32:10 +0000,GET /contact.html HTTP/1.1,500,2503,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
155.173.204.100,27/Aug/2024:03:34:15 +0000,POST /contact.html HTTP/1.1,302,2467,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
187.241.125.252,16/Aug/2024:18:11:54 +0000,GET /pricing.html HTTP/1.1,500,4164,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
179.64.249.28,7/Aug/2024:08:16:27 +0000,POST /about.html HTTP/1.1,500,1596,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
255.189.8.198,22/Aug/2024:03:40:33 +0000,POST /pricing.html HTTP/1.1,500,985,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
51.183.252.157,4/Aug/2024:02:10:15 +0000,GET /products.html HTTP/1.1,404,1788,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
112.190.154.175,14/Aug/2024:00:27:33 +0000,POST /about.html HTTP/1.1,500,435,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
248.96.33.63,17/Aug/2024:14:34:37 +0000,DELETE /pricing.html HTTP/1.1,500,768,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
128.150.158.25,13/Aug/2024:03:33:29 +0000,PUT /about.html HTTP/1.1,302,4973,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
154.168.68.17,26/Aug/2024:01:04:22 +0000,GET /about.html HTTP/1.1,302,765,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
124.44.199.200,9/Aug/2024:09:50:58 +0000,DELETE /pricing.html HTTP/1.1,302,2908,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
140.33.153.36,28/Aug/2024:12:03:37 +0000,POST /services.html HTTP/1.1,302,2076,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
239.71.201.16,19/Aug/2024:12:34:40 +0000,DELETE /about.html HTTP/1.1,302,1867,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
237.95.83.5,17/Aug/2024:20:53:39 +0000,GET /products.html HTTP/1.1,500,3561,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
10.244.155.58,2/Aug/2024:22:15:03 +0000,GET /about.html HTTP/1.1,200,3883,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
4.137.53.36,8/Aug/2024:08:49:13 +0000,PUT /index.html HTTP/1.1,200,1563,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
47.44.44.131,16/Aug/2024:10:32:07 +0000,GET /products.html HTTP/1.1,500,2975,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
97.232.43.63,9/Aug/2024:01:11:13 +0000,POST /login HTTP/1.1,200,1341,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
230.164.238.84,17/Aug/2024:12:57:41 +0000,DELETE /contact.html HTTP/1.1,200,3097,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
112.66.124.190,20/Aug/2024:13:25:03 +0000,DELETE /contact.html HTTP/1.1,200,4833,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
150.85.98.208,16/Aug/2024:15:10:30 +0000,PUT /about.html HTTP/1.1,500,2011,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
242.160.142.11,22/Aug/2024:12:02:31 +0000,PUT /pricing.html HTTP/1.1,404,3706,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
171.213.189.97,11/Aug/2024:08:47:58 +0000,GET /login HTTP/1.1,200,739,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
160.30.216.115,5/Aug/2024:13:40:40 +0000,DELETE /contact.html HTTP/1.1,200,4493,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
189.151.163.84,23/Aug/2024:01:50:32 +0000,POST /services.html HTTP/1.1,302,4389,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
94.221.80.250,14/Aug/2024:23:41:48 +0000,GET /products.html HTTP/1.1,302,2692,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
62.0.116.232,14/Aug/2024:22:21:52 +0000,POST /about.html HTTP/1.1,302,4278,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
121.214.135.156,9/Aug/2024:11:33:00 +0000,GET /login HTTP/1.1,404,807,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
130.182.203.207,14/Aug/2024:13:20:38 +0000,DELETE /pricing.html HTTP/1.1,500,3778,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
81.155.148.201,5/Aug/2024:01:05:55 +0000,GET /login HTTP/1.1,302,2694,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
172.63.210.145,13/Aug/2024:12:14:32 +0000,POST /login HTTP/1.1,200,2958,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
38.178.252.45,22/Aug/2024:17:48:28 +0000,PUT /products.html HTTP/1.1,302,4906,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
86.146.109.192,5/Aug/2024:11:32:21 +0000,PUT /services.html HTTP/1.1,404,2142,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
0.41.212.91,9/Aug/2024:11:25:32 +0000,GET /index.html HTTP/1.1,404,1566,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
179.163.237.192,26/Aug/2024:01:02:19 +0000,PUT /services.html HTTP/1.1,500,3952,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
39.107.12.237,24/Aug/2024:03:12:36 +0000,DELETE /index.html HTTP/1.1,404,1750,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
237.158.26.135,11/Aug/2024:23:38:48 +0000,DELETE /products.html HTTP/1.1,302,3190,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
14.59.177.13,9/Aug/2024:20:15:13 +0000,PUT /products.html HTTP/1.1,500,1948,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
41.146.125.223,12/Aug/2024:10:29:47 +0000,POST /index.html HTTP/1.1,500,2591,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
182.164.186.236,28/Aug/2024:18:57:20 +0000,DELETE /pricing.html HTTP/1.1,302,2777,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
113.101.12.144,20/Aug/2024:12:38:15 +0000,DELETE /pricing.html HTTP/1.1,404,2776,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
45.191.35.134,24/Aug/2024:21:26:40 +0000,PUT /services.html HTTP/1.1,404,2999,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
212.27.67.211,26/Aug/2024:14:02:42 +0000,POST /contact.html HTTP/1.1,200,870,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
241.24.237.217,18/Aug/2024:02:15:28 +0000,PUT /products.html HTTP/1.1,302,1391,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
62.114.237.159,18/Aug/2024:22:14:22 +0000,GET /about.html HTTP/1.1,500,687,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
85.116.181.210,15/Aug/2024:14:04:58 +0000,PUT /contact.html HTTP/1.1,302,441,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
235.51.12.203,13/Aug/2024:08:20:14 +0000,DELETE /login HTTP/1.1,302,2640,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
222.116.77.116,20/Aug/2024:19:33:37 +0000,GET /services.html HTTP/1.1,302,4298,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
134.45.78.79,5/Aug/2024:13:09:10 +0000,DELETE /index.html HTTP/1.1,302,4010,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
70.250.175.44,22/Aug/2024:10:02:58 +0000,POST /products.html HTTP/1.1,200,4078,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
123.78.69.18,27/Aug/2024:18:39:41 +0000,GET /about.html HTTP/1.1,404,2159,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
158.234.186.184,25/Aug/2024:12:00:05 +0000,DELETE /pricing.html HTTP/1.1,200,2436,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
180.224.221.126,13/Aug/2024:12:04:40 +0000,POST /services.html HTTP/1.1,500,4933,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
71.239.222.51,16/Aug/2024:18:47:04 +0000,DELETE /index.html HTTP/1.1,302,1470,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
150.203.198.79,14/Aug/2024:15:44:48 +0000,GET /contact.html HTTP/1.1,302,4297,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
128.238.140.191,26/Aug/2024:19:53:35 +0000,GET /pricing.html HTTP/1.1,404,3951,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
152.189.140.118,7/Aug/2024:11:15:15 +0000,DELETE /index.html HTTP/1.1,500,2616,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
24.17.255.194,28/Aug/2024:07:52:09 +0000,POST /index.html HTTP/1.1,404,4850,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
135.133.203.230,12/Aug/2024:14:03:01 +0000,PUT /contact.html HTTP/1.1,500,948,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
224.172.164.118,3/Aug/2024:13:32:28 +0000,POST /pricing.html HTTP/1.1,404,3480,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
136.29.96.181,2/Aug/2024:16:54:04 +0000,GET /contact.html HTTP/1.1,500,2228,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
114.176.110.165,3/Aug/2024:04:08:17 +0000,POST /services.html HTTP/1.1,302,589,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
180.9.115.241,15/Aug/2024:08:59:22 +0000,PUT /products.html HTTP/1.1,200,3147,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
28.76.147.72,22/Aug/2024:10:50:31 +0000,POST /contact.html HTTP/1.1,500,1448,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
146.168.134.253,19/Aug/2024:20:59:08 +0000,DELETE /about.html HTTP/1.1,200,1011,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
177.113.64.223,17/Aug/2024:13:26:20 +0000,PUT /index.html HTTP/1.1,302,2052,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
185.56.180.65,15/Aug/2024:14:51:27 +0000,POST /products.html HTTP/1.1,200,487,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
71.132.185.34,25/Aug/2024:12:14:14 +0000,DELETE /login HTTP/1.1,404,3485,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
94.224.175.44,22/Aug/2024:17:40:26 +0000,GET /about.html HTTP/1.1,404,2140,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
97.121.30.154,17/Aug/2024:22:06:32 +0000,GET /products.html HTTP/1.1,500,1212,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
170.4.116.176,8/Aug/2024:18:33:12 +0000,DELETE /contact.html HTTP/1.1,500,3217,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
